measurement_time,gadget_id,vibration_x,vibration_y,pressure,temperature,Unnamed: 10,Unnamed: 11,failure_time,time_to_fail,fail_in_1h,temperature_6h_std,pressure_6h_mean,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2020-07-20 01:59:59.505000000,4,7,4,14,84.3079131436019,,,2020-07-20 04:57:13.764961140,0 days 02:57:14.259961140,0,5.8991639691264,15.0833333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-07-19 10:59:59.505000000,3,4,5,11,34.2981965117808,,,2020-07-19 13:56:10.696283280,0 days 02:56:11.191283280,0,5.6422711367681,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-07-15 08:59:59.955000000,3,5,7,13,54.571903861407,,,2020-07-15 09:33:48.330967860,0 days 00:33:48.375967860,1,2.70852342361213,14.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-16 08:59:59.835000000,3,8,1,20,33.012610911237,,,2020-07-17 13:40:46.685736880,1 days 04:40:46.850736880,0,3.11446996192772,15.1666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-15 19:59:59.900000000,1,4,1,11,23.1416087562274,,,2020-07-15 21:49:25.197701400,0 days 01:49:25.297701400,0,10.2028333866302,13.8333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-07-15 22:59:59.885000000,3,8,1,16,80.012604263439,,,2020-07-17 13:40:46.685736880,1 days 14:40:46.800736880,0,1.24017077207617,14.1666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-17 15:59:59.680000000,1,4,5,20,18.9466089316983,,,2020-07-19 03:15:13.974547560,1 days 11:15:14.294547560,0,3.01427367637059,12.8333333333333,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-15 10:59:59.945000000,1,10,9,15,33.0988613985981,,,2020-07-15 21:49:25.197701400,0 days 10:49:25.252701400,0,4.5887250098032,16.6666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-17 21:59:59.650000000,2,7,8,16,65.3517159797859,,,2020-07-17 23:53:45.169746500,0 days 01:53:45.519746500,0,6.10287473704291,16.3333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2020-07-17 09:59:59.710000000,2,1,2,12,46.5060919632014,,,2020-07-17 12:27:48.664915440,0 days 02:27:48.954915440,0,3.03845378738751,14.6666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-15 03:59:59.980000000,4,6,5,16,85.1731192632315,,,2020-07-15 05:31:44.776014200,0 days 01:31:44.796014200,0,10.0067839644351,14.1666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-07-19 20:59:59.505000000,2,6,9,17,64.624758459203,,,2020-07-19 21:29:40.370050860,0 days 00:29:40.865050860,1,4.13521020637277,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-21 07:59:59.505000000,4,2,10,15,75.8428409480014,,,2020-07-21 14:58:51.351641580,0 days 06:58:51.846641580,0,3.7295509586305,14.9166666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-15 09:59:59.950000000,4,7,4,16,84.7490880340297,,,2020-07-15 15:43:54.781551000,0 days 05:43:54.831551,0,4.57701599844883,13.1666666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-19 03:59:59.505000000,3,2,8,10,72.3046815275745,,,2020-07-19 13:56:10.696283280,0 days 09:56:11.191283280,0,6.31082891021134,15.0833333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-07-20 05:59:59.505000000,3,4,4,10,58.8732208231698,,,2020-07-21 05:14:52.802747100,0 days 23:14:53.297747100,0,4.34633602095666,14.9166666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-17 20:59:59.655000000,4,7,8,16,83.4388262977793,,,2020-07-18 02:23:34.205769080,0 days 05:23:34.550769080,0,4.62712256207259,14.3333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-16 08:59:59.835000000,2,1,8,15,41.1345265612023,,,2020-07-16 22:08:40.476121540,0 days 13:08:40.641121540,0,17.5635313460361,14.6666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-16 15:59:59.800000000,1,7,9,11,26.5909566230274,,,2020-07-17 02:02:01.127749340,0 days 10:02:01.327749340,0,19.6150895741519,14.3333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-15 05:59:59.970000000,3,10,4,16,39.8785041955395,,,2020-07-15 09:33:48.330967860,0 days 03:33:48.360967860,0,3.68290969653481,17.3333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
